,state,date,cases_confirmed,total_deaths,new_deaths,total_US_deaths,death_ratio,total_US_rec,approx_state_rec_total
0,Louisiana,1/22/20,0,0,0,0,0.0,0,0.0
1,Louisiana,1/23/20,0,0,0,0,0.0,0,0.0
2,Louisiana,1/24/20,0,0,0,0,0.0,0,0.0
3,Louisiana,1/25/20,0,0,0,0,0.0,0,0.0
4,Louisiana,1/26/20,0,0,0,0,0.0,0,0.0
5,Louisiana,1/27/20,0,0,0,0,0.0,0,0.0
6,Louisiana,1/28/20,0,0,0,0,0.0,0,0.0
7,Louisiana,1/29/20,0,0,0,0,0.0,0,0.0
8,Louisiana,1/30/20,0,0,0,0,0.0,0,0.0
9,Louisiana,1/31/20,0,0,0,0,0.0,0,0.0
10,Louisiana,2/1/20,0,0,0,0,0.0,0,0.0
11,Louisiana,2/2/20,0,0,0,0,0.0,0,0.0
12,Louisiana,2/3/20,0,0,0,0,0.0,0,0.0
13,Louisiana,2/4/20,0,0,0,0,0.0,0,0.0
14,Louisiana,2/5/20,0,0,0,0,0.0,0,0.0
15,Louisiana,2/6/20,0,0,0,0,0.0,0,0.0
16,Louisiana,2/7/20,0,0,0,0,0.0,0,0.0
17,Louisiana,2/8/20,0,0,0,0,0.0,0,0.0
18,Louisiana,2/9/20,0,0,0,0,0.0,3,0.0
19,Louisiana,2/10/20,0,0,0,0,0.0,3,0.0
20,Louisiana,2/11/20,0,0,0,0,0.0,3,0.0
21,Louisiana,2/12/20,0,0,0,0,0.0,3,0.0
22,Louisiana,2/13/20,0,0,0,0,0.0,3,0.0
23,Louisiana,2/14/20,0,0,0,0,0.0,3,0.0
24,Louisiana,2/15/20,0,0,0,0,0.0,3,0.0
25,Louisiana,2/16/20,0,0,0,0,0.0,3,0.0
26,Louisiana,2/17/20,0,0,0,0,0.0,3,0.0
27,Louisiana,2/18/20,0,0,0,0,0.0,3,0.0
28,Louisiana,2/19/20,0,0,0,0,0.0,3,0.0
29,Louisiana,2/20/20,0,0,0,0,0.0,3,0.0
30,Louisiana,2/21/20,0,0,0,0,0.0,5,0.0
31,Louisiana,2/22/20,0,0,0,0,0.0,5,0.0
32,Louisiana,2/23/20,0,0,0,0,0.0,5,0.0
33,Louisiana,2/24/20,0,0,0,0,0.0,5,0.0
34,Louisiana,2/25/20,0,0,0,0,0.0,6,0.0
35,Louisiana,2/26/20,0,0,0,0,0.0,6,0.0
36,Louisiana,2/27/20,0,0,0,0,0.0,6,0.0
37,Louisiana,2/28/20,0,0,0,0,0.0,7,0.0
38,Louisiana,2/29/20,0,0,0,1,0.0,7,0.0
39,Louisiana,3/1/20,0,0,0,1,0.0,7,0.0
40,Louisiana,3/2/20,0,0,0,6,0.0,7,0.0
41,Louisiana,3/3/20,0,0,0,7,0.0,7,0.0
42,Louisiana,3/4/20,0,0,0,11,0.0,7,0.0
43,Louisiana,3/5/20,0,0,0,12,0.0,7,0.0
44,Louisiana,3/6/20,0,0,0,14,0.0,7,0.0
45,Louisiana,3/7/20,0,0,0,17,0.0,7,0.0
46,Louisiana,3/8/20,0,0,0,21,0.0,7,0.0
47,Louisiana,3/9/20,0,0,0,22,0.0,7,0.0
48,Louisiana,3/10/20,0,0,0,28,0.0,8,0.0
49,Louisiana,3/11/20,5,0,0,32,0.0,8,0.0
50,Louisiana,3/12/20,19,0,0,43,0.0,12,0.0
51,Louisiana,3/13/20,29,0,0,52,0.0,12,0.0
52,Louisiana,3/14/20,77,1,1,59,0.01694915254237288,12,0.0
53,Louisiana,3/15/20,87,2,1,72,0.027777777777777776,12,0.0
54,Louisiana,3/16/20,115,3,1,100,0.03,17,1.0
